carId	roadMap	indicator	intersectionCount
41	{3,5,13}	0	0
42	{3,14}	0	0
43	{3,2,1,10}	0	0
44	{3,5,13}	0	0
45	{3,14}	0	0
46	{3,2,1,10}	0	0
47	{3,5,13}	0	0
48	{3,14}	0	0
49	{3,2,1,10}	0	0
50	{3,5,13}	0	0
51	{3,14}	0	0
52	{3,2,1,10}	0	0
53	{3,5,13}	0	0
54	{3,14}	0	0
55	{3,2,1,10}	0	0
56	{3,5,13}	0	0
57	{3,14}	0	0
58	{3,2,1,10}	0	0
59	{3,5,13}	0	0
60	{3,14}	0	0
61	{3,2,1,10}	0	0
62	{3,5,13}	0	0
63	{3,14}	0	0
64	{3,2,1,10}	0	0
65	{3,2,1,10}	0	0
66	{3,5,13}	0	0
67	{3,14}	0	0
68	{3,2,1,10}	0	0
69	{3,5,13}	0	0
70	{3,14}	0	0
71	{3,2,1,10}	0	0
72	{3,5,13}	0	0
73	{3,14}	0	0
74	{3,2,1,10}	0	0
75	{3,5,13}	0	0
76	{3,14}	0	0
77	{3,2,1,10}	0	0
78	{3,5,13}	0	0
79	{3,14}	0	0
80	{3,2,1,10}	0	0
