carId	roadMap	indicator	intersectionCount	time
1	{2,11}	0	0	0
2	{4,12}	0	0	0
3	{4,3,5,13}	0	0	0
4	{2,11}	0	0	0
5	{4,12}	0	0	0
6	{4,3,5,13}	0	0	0
7	{2,11}	0	0	0
8	{4,12}	0	0	0
9	{4,3,5,13}	0	0	0
10	{2,11}	0	0	0
11	{4,12}	0	0	0
12	{4,3,5,13}	0	0	0
13	{2,11}	0	0	0
14	{4,12}	0	0	0
15	{4,3,5,13}	0	0	0
16	{2,11}	0	0	0
17	{4,12}	0	0	0
18	{4,3,5,13}	0	0	0
19	{2,11}	0	0	0
20	{4,12}	0	0	0
21	{4,3,5,13}	0	0	0
22	{2,11}	0	0	0
23	{4,12}	0	0	0
24	{4,3,5,13}	0	0	0
25	{4,3,5,13}	0	0	0
26	{2,11}	0	0	0
27	{4,12}	0	0	0
28	{4,3,5,13}	0	0	0
29	{2,11}	0	0	0
30	{4,12}	0	0	0
31	{4,3,5,13}	0	0	0
32	{2,11}	0	0	0
33	{4,12}	0	0	0
34	{4,3,5,13}	0	0	0
35	{2,11}	0	0	0
36	{4,12}	0	0	0
37	{4,3,5,13}	0	0	0
38	{2,11}	0	0	0
39	{4,12}	0	0	0
40	{4,3,5,13}	0	0	0
