carId	roadMap	indicator	intersectionCount
81	{3,14}	0	0	0
82	{4,1,10}	0	0	0
83	{3,4,1,10}	0	0	0
84	{3,14}	0	0	0
85	{4,1,10}	0	0	0
86	{3,4,1,10}	0	0	0
87	{3,14}	0	0	0
88	{4,1,10}	0	0	0
89	{3,4,1,10}	0	0	0
90	{3,14}	0	0	0
91	{4,1,10}	0	0	0
92	{3,4,1,10}	0	0	0
93	{3,14}	0	0	0
94	{4,1,10}	0	0	0
95	{3,4,1,10}	0	0	0
96	{3,14}	0	0	0
97	{4,1,10}	0	0	0
98	{3,4,1,10}	0	0	0
99	{3,14}	0	0	0
100	{4,1,10}	0	0	0
101	{3,4,1,10}	0	0	0
102	{3,14}	0	0	0
103	{4,1,10}	0	0	0
104	{3,4,1,10}	0	0	0
105	{3,4,1,10}	0	0	0
106	{3,14}	0	0	0
107	{4,1,10}	0	0	0
108	{3,4,1,10}	0	0	0
109	{3,14}	0	0	0
110	{4,1,10}	0	0	0
111	{3,4,1,10}	0	0	0
112	{3,14}	0	0	0
113	{4,1,10}	0	0	0
114	{3,4,1,10}	0	0	0
115	{3,14}	0	0	0
116	{4,1,10}	0	0	0
117	{3,4,1,10}	0	0	0
118	{3,14}	0	0	0
119	{4,1,10}	0	0	0
120	{3,4,1,10}	0	0	0
