carId	roadMap	indicator	intersectionCount
121	{2,11}	0	0
122	{5,13}	0	0
123	{4,1,10}	0	0
124	{2,11}	0	0
125	{5,13}	0	0
126	{4,1,10}	0	0
127	{2,11}	0	0
128	{5,13}	0	0
129	{4,1,10}	0	0
130	{2,11}	0	0
131	{5,13}	0	0
132	{4,1,10}	0	0
133	{2,11}	0	0
134	{5,13}	0	0
135	{4,1,10}	0	0
136	{2,11}	0	0
137	{5,13}	0	0
138	{4,1,10}	0	0
139	{2,11}	0	0
140	{5,13}	0	0
141	{4,1,10}	0	0
142	{2,11}	0	0
143	{5,13}	0	0
144	{4,1,10}	0	0
145	{4,1,10}	0	0
146	{2,11}	0	0
147	{5,13}	0	0
148	{4,1,10}	0	0
149	{2,11}	0	0
150	{5,13}	0	0
151	{4,1,10}	0	0
152	{2,11}	0	0
153	{5,13}	0	0
154	{4,1,10}	0	0
155	{2,11}	0	0
156	{5,13}	0	0
157	{4,1,10}	0	0
158	{2,11}	0	0
159	{5,13}	0	0
160	{4,1,10}	0	0
