carId	roadMap	indicator	intersectionCount
161	{1,10}	0	0
162	{3,4,12}	0	0
163	{3,5,13}	0	0
164	{1,10}	0	0
165	{3,4,12}	0	0
166	{3,5,13}	0	0
167	{1,10}	0	0
168	{3,4,12}	0	0
169	{3,5,13}	0	0
170	{1,10}	0	0
171	{3,4,12}	0	0
172	{3,5,13}	0	0
173	{1,10}	0	0
174	{3,4,12}	0	0
175	{3,5,13}	0	0
176	{1,10}	0	0
177	{3,4,12}	0	0
178	{3,5,13}	0	0
179	{1,10}	0	0
180	{3,4,12}	0	0
181	{3,5,13}	0	0
182	{1,10}	0	0
183	{3,4,12}	0	0
184	{3,5,13}	0	0
185	{3,5,13}	0	0
186	{1,10}	0	0
187	{3,4,12}	0	0
188	{3,5,13}	0	0
189	{1,10}	0	0
190	{3,4,12}	0	0
191	{3,5,13}	0	0
192	{1,10}	0	0
193	{3,4,12}	0	0
194	{3,5,13}	0	0
195	{1,10}	0	0
196	{3,4,12}	0	0
197	{3,5,13}	0	0
198	{1,10}	0	0
199	{3,4,12}	0	0
200	{3,5,13}	0	0
